Annotation_Accession,host,isolation_source,Manual_Annotation
GCA_001729825.1_ASM172982v1,Homo sapiens,Right conjunctiva of a child with trachoma,Humans
GCA_011465255.1_ASM1146525v1,Homo sapiens,Sputum sample,Humans
GCA_003076375.1_ASM307637v1,NA,Sheep placental tissue,Livestock
GCA_001902215.1_ASM190221v1,Homo sapiens,Urine,Humans
GCA_006802875.1_ASM680287v1,environmental,NA,NA
GCA_009892345.1_ASM989234v1,Homo sapiens,Ascites liquid,Humans
GCA_011493005.1_ASM1149300v1,NA,soil,Soil
GCA_009883835.1_ASM988383v1,Penaeus japonicus,AHPND infected Penaeus japonicus,Animals
GCA_013341075.1_ASM1334107v1,NA,NA,NA
GCA_000022845.1_ASM2284v1,NA,NA,NA
GCA_001640905.1_ASM164090v1,Homo sapiens,blood,Humans
GCA_002896875.1_ASM289687v1,NA,Brazilian saline-alkaline lake,Terrestrial
GCA_003410375.1_ASM341037v1,NA,raw fermented sausage,Food
GCA_003546465.1_ASM354646v1,NA,NA,NA
GCA_000018545.1_ASM1854v1,NA,NA,NA
GCA_000508745.1_Stp_DORA_6_22_velvet_1.1,Homo sapiens,premature infant gut,Humans
GCA_900698965.1_ErCipseudotaxifoliae_v2.0,NA,host's whole body,NA
GCA_000013865.1_ASM1386v1,NA,NA,NA
GCA_000009945.1_ASM994v1,NA,NA,NA
GCA_003798305.1_ASM379830v1,Homo sapiens,NA,Humans
GCA_002310895.1_ASM231089v1,Homo sapiens,urine,Humans
GCA_001921905.1_ASM192190v1,NA,NA,NA
GCA_009911855.1_ASM991185v1,Homo sapiens,NA,Humans
GCA_003571805.1_ASM357180v1,NA,NA,NA
GCA_009873455.1_ASM987345v1,NA,NA,NA
GCA_013161805.1_ASM1316180v1,NA,stool,Humans
GCA_001698185.1_ASM169818v1,mouse-C57Bl/6J,Bronchal aveolar lavage fluid mouse #1,Livestock
GCA_002210065.1_ASM221006v1,Homo sapiens,sputum,Humans
GCA_002504165.1_ASM250416v1,NA,sediment,Sediment
GCA_003325255.1_ASM332525v1,NA,NA,NA
GCA_009797605.1_ASM979760v1,NA,NA,NA
GCA_000185905.1_ASM18590v1,Astragalus pelecinus,NA,Plants
GCA_000340845.1_ASM34084v1,NA,NA,NA
GCA_000961475.1_ASM96147v1,citrus spp.,citrus infected tissue,Agriculture
GCA_002905795.2_ASM290579v2,Prunus avium,ENVO_00000115,Agriculture
GCA_011465395.1_ASM1146539v1,Homo sapiens,Sputum sample,Humans
GCA_009931295.1_ASM993129v1,kimchi cabbage,NA,Food
GCA_900087875.2_WHOL,NA,NA,NA
GCA_001692615.1_ASM169261v1,NA,NA,NA
GCA_001558275.2_ASM155827v2,Homo sapiens,Urine,Humans
GCA_005886755.1_ASM588675v1,NA,soil,Soil
GCA_009755745.1_ASM975574v1,alligator,NA,Animals
GCA_009930895.1_ASM993089v1,cow,milk,Livestock
GCA_900660555.1_50884_D01-3,NA,Eye,Humans
GCA_002381305.1_ASM238130v1,NA,clam larvae aquaculture,Human-impacted
GCA_002078955.1_ASM207895v1,NA,Dairy fermentation,Food
GCA_001887535.1_ASM188753v1,tomato,tomato vessel,Agriculture
GCA_002568625.1_ASM256862v1,Homo sapiens,cerebrospinal fluid,Humans
GCA_000517625.1_ASM51762v1,NA,sediment of saline lake,Sediment
GCA_001663655.1_ASM166365v1,NA,light wheat beer,Food
GCA_012571345.1_ASM1257134v1,Macroplea mutica,Beetle Malpighian tubules,Animals
GCA_000346065.1_ASM34606v1,NA,NA,NA
GCA_004683865.2_ASM468386v2,Tibetan antelope,feces,Animals
GCA_005705815.1_ASM570581v1,Homo sapiens,NA,Humans
GCA_013282765.1_ASM1328276v1,NA,NA,NA
GCA_002285715.1_ASM228571v1,Homo sapiens,NA,Humans
GCA_001878735.2_ASM187873v2,Swine,Rectal swab,Livestock
GCA_001620005.1_ASM162000v1,NA,UCB-1 pistachio rootstock,Agriculture
GCA_012935045.1_ASM1293504v1,Homo sapiens,Pus,Humans
GCA_003813025.1_ASM381302v1,Homo sapiens,NA,Humans
GCA_000299255.1_ASM29925v1,Homo sapiens,NA,Humans
GCA_000021465.1_ASM2146v1,NA,NA,NA
GCA_009296145.1_ASM929614v1,NA,feces,Humans
GCA_009913015.1_ASM991301v1,Homo sapiens,NA,Humans
GCA_900249885.1_CBM2617,NA,NA,NA
GCA_009866945.1_ASM986694v1,Bos taurus,Bovine adult,Livestock
GCA_000511305.1_ASM51130v1,NA,NA,NA
GCA_004847545.1_ASM484754v1,Homo sapiens,stool,Humans
GCA_007954725.1_ASM795472v1,NA,kimchi,Food
GCA_001865575.1_ASM186557v1,Lebeckia ambigua,Root nodule,Plants
GCA_002852915.4_ASM285291v4,Homo sapiens,NA,Humans
GCA_005281435.1_ASM528143v1,NA,soil,Soil
GCA_001307295.1_ASM130729v1,NA,activated sludge,Human-impacted
GCA_001696605.3_ASM169660v3,NA,hospital sewage,Human-impacted
GCA_013167155.1_ASM1316715v1,cattle,cattle feces,Livestock
GCA_002954185.1_ASM295418v1,Olea europaea,olive twig showing symptoms of olive quick decline syndrome,Agriculture
GCA_000026045.1_ASM2604v1,NA,NA,NA
GCA_002214745.2_ASM221474v2,Homo sapiens,Human Stool,Humans
GCA_000967305.2_ASM96730v2,nematode,NA,Animals
GCA_000185205.1_ASM18520v1,NA,NA,NA
GCA_004802635.2_ASM480263v2,NA,Sphagnum peat bog lake,Freshwater
GCA_012052965.1_ASM1205296v1,Homo sapiens,Diarrheal patient,Humans
GCA_003112245.1_ASM311224v1,NA,Creek,Freshwater
GCA_009859915.1_ASM985991v1,NA,bacterial consortium,NA
GCA_009757245.1_ASM975724v1,Homo sapiens,NA,Humans
GCA_009792235.1_ASM979223v1,NA,freshwater,Freshwater
GCA_002215345.1_ASM221534v1,Homo sapiens,NA,Humans
GCA_003030205.1_ASM303020v1,NA,NA,NA
GCA_003798345.1_ASM379834v1,NA,NA,NA
GCA_000770605.1_gabab5075v1.0,Homo sapiens,bone culture,Humans
GCA_005222145.1_ASM522214v1,NA,Agricultural field,Soil
GCA_009740225.1_ASM974022v1,Homo sapiens,NA,Humans
GCA_004006055.1_ASM400605v1,Homo sapiens,rectal swab,Humans
GCA_000194745.1_ASM19474v1,NA,NA,NA
GCA_001587035.1_ASM158703v1,chicken,gizzard,Livestock
GCA_002759195.1_ASM275919v1,Phaseolus vulgaris,NA,Agriculture
GCA_000968515.1_ASM96851v1,Homo sapiens,urine,Humans
GCA_001019205.2_ASM101920v2,Homo sapiens,child - hospital pneumology ward,Humans
GCA_002848485.1_ASM284848v1,NA,meat processing facility,Human-impacted
GCA_000014485.1_ASM1448v1,NA,NA,NA
GCA_003325735.1_ASM332573v1,Homo sapiens,cerebrospinal fluid,Humans
GCA_002310595.1_ASM231059v1,canine,NA,Livestock
GCA_002079265.1_ASM207926v1,NA,sludge of membrane bioreactor in a waste-water treatment plant,Human-impacted
GCA_013315695.1_ASM1331569v1,Homo sapiens,rectal swab from healthy college student,Humans
GCA_003204155.1_ASM320415v1,NA,NA,NA
GCA_001469815.1_ASM146981v1,Homo sapiens,urine,Humans
GCA_013426155.1_ASM1342615v1,Homo sapiens,platelet concentrate,Humans
GCA_001971585.1_ASM197158v1,NA,Kimchi,Food
GCA_004135125.1_ASM413512v1,NA,cell culture,NA
GCA_000025045.1_ASM2504v1,mung bean,sprouts,Food
GCA_000013925.2_ASM1392v2,NA,human tissue biopsy,Humans
GCA_002176855.1_ASM217685v1,Meleagris gallopavo,ileum,Animals
GCA_900249845.1_CBM2609,NA,NA,NA
GCA_000155515.2_ASM15551v2,NA,NA,NA
GCA_013170785.1_ASM1317078v1,Lotus corniculatus,NA,Plants
GCA_011604545.1_ASM1160454v1,Trifolium repens,Clover nodules,Plants
GCA_010919335.1_ASM1091933v1,Homo sapiens,stool sample,Humans
GCA_004141895.1_ASM414189v1,NA,food,Food
GCA_003444755.1_ASM344475v1,NA,high concentration of fluoride,Human-impacted
GCA_000159535.2_ASM15953v2,NA,NA,NA
GCA_001693275.1_ASM169327v1,NA,NA,NA
GCA_002968695.1_ASM296869v1,NA,NA,NA
GCA_005037735.2_ASM503773v2,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCA_005519465.1_ASM551946v1,NA,NA,NA
GCA_002833465.1_ASM283346v1,Homo sapiens,blood,Humans
GCA_002026345.1_ASM202634v1,NA,pond,Freshwater
GCA_012980785.1_ASM1298078v1,Apple tree,NA,Agriculture
GCA_012570145.1_ASM1257014v1,Donacia provostii,Beetle Malpighian tubules,Animals
GCA_000235975.2_ASM23597v1,NA,muddy sediment,Sediment
GCA_002257935.3_ASM225793v3,Homo sapiens,NA,Humans
GCA_000022165.1_ASM2216v1,NA,NA,NA
GCA_012567685.1_ASM1256768v1,Donacia marginata,Beetle Malpighian tubules,Animals
GCA_900087795.2_WHOV,NA,NA,NA
GCA_003112395.1_ASM311239v1,Ictalurus punctatus,NA,Animals
GCA_005280415.1_ASM528041v1,Homo sapiens,blood,Humans
GCA_001951095.1_ASM195109v1,Homo sapiens,infant saliva,Humans
GCA_002848625.1_ASM284862v1,Homo sapiens,blood,Humans
GCA_006742205.1_ASM674220v1,NA,NA,NA
GCA_013389435.1_ASM1338943v1,NA,potash salt dump,Human-impacted
GCA_002197125.1_ASM219712v1,Medicago truncatula,NA,Plants
GCA_013306395.1_ASM1330639v1,tomato,NA,Agriculture
GCA_011149675.1_ASM1114967v1,Homo sapiens,urine,Humans
GCA_002164835.3_ASM216483v3,Homo sapiens,NA,Humans
GCA_002738105.1_ASM273810v1,Homo sapiens,blood culture,Humans
GCA_002953715.1_ASM295371v1,Lotus corniculatus,NA,Plants
GCA_003432345.1_ASM343234v1,swine,nasal swab,Livestock
GCA_000819665.1_ASM81966v1,NA,soil,Soil
GCA_001027045.1_ASM102704v1,Homo sapiens,NA,Humans
GCA_004119775.1_ASM411977v1,NA,food,Food
GCA_006088855.1_ASM608885v1,Bos taurus,placenta,Livestock
GCA_003443555.1_ASM344355v1,NA,NA,NA
GCA_003445395.2_ASM344539v2,NA,NA,NA
GCA_002951615.1_ASM295161v1,NA,soil,Soil
GCA_003627795.1_ASM362779v1,Phaseolus,agricultural soil,Soil
GCA_001586135.1_ASM158613v1,Solanum tuberosum,NA,Agriculture
GCA_009362975.1_ASM936297v1,NA,The fermentation starter of Baijiu,Food
GCA_007794935.1_ASM779493v1,Homo sapiens,NA,Humans
GCA_003955985.1_ASM395598v1,Homo sapiens,Drainage from GT site,Humans
GCA_011290505.1_ASM1129050v1,Homo sapiens,stool sample,Humans
GCA_010092545.1_ASM1009254v1,Oncorhynchus kisutch,ENVO:01000312,Animals
GCA_000406765.2_ASM40676v2,NA,NA,NA
GCA_005885895.1_ASM588589v1,Homo sapiens,stool,Humans
GCA_006228525.1_ASM622852v1,Punica granatum,leaf,Agriculture
GCA_005221765.1_ASM522176v1,NA,cattle,Livestock
GCA_003428845.1_ASM342884v1,Homo sapiens,blood,Humans
GCA_000013565.1_ASM1356v1,NA,NA,NA
GCA_002752905.1_ASM275290v1,NA,NA,NA
GCA_001908715.1_ASM190871v1,Homo sapiens,Urine,Humans
GCA_002000725.1_ASM200072v1,Homo sapiens,Throat,Humans
GCA_010523235.1_ASM1052323v1,NA,sediment,Sediment
GCA_002633865.1_ASM263386v1,NA,bakery environment - hallway,Human-impacted
GCA_004015145.1_ASM401514v1,NA,Korean adult feces,Humans
GCA_000183725.1_ASM18372v1,NA,drain water from underground crude oil storage cavity,Human-impacted
GCA_000318585.1_ASM31858v1,NA,NA,NA
GCA_008033255.1_ASM803325v1,Homo sapiens,sputum,Humans
GCA_004087995.1_ASM408799v1,NA,food,Food
GCA_001766255.1_ASM176625v1,NA,NA,NA
GCA_002164855.2_ASM216485v2,Homo sapiens,NA,Humans
GCA_009667835.1_ASM966783v1,NA,animal,Animals
GCA_009892365.1_ASM989236v1,Homo sapiens,NA,Humans
GCA_000011925.1_ASM1192v1,NA,NA,NA
GCA_003589785.1_ASM358978v1,NA,Ground Beef,Food
GCA_006349345.1_ASM634934v1,Homo sapiens,feces,Humans
GCA_000815225.1_ASM81522v1,NA,NA,NA
GCA_010919095.1_ASM1091909v1,goose,stool,Livestock
GCA_003515225.1_ASM351522v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_009937865.1_ASM993786v1,NA,water sample from river near old railway bridge,Freshwater
GCA_008727835.1_ASM872783v1,Homo sapiens,intestinal tract,Humans
GCA_000310105.2_ASM31010v2,NA,seawater,Marine
GCA_002983645.1_ASM298364v1,Homo sapiens,Stool,Humans
GCA_003071525.2_ASM307152v2,NA,air,Terrestrial
GCA_003597615.1_ASM359761v1,NA,kimchi,Food
GCA_003031285.1_ASM303128v1,Homo sapiens,NA,Humans
GCA_000083545.1_ASM8354v1,NA,NA,NA
GCA_900258435.1_CDI-MFPA43A14_assembly_v1,NA,Beef carpaccio,Food
GCA_000695935.1_ASM69593v1,NA,groin,Humans
GCA_000576555.1_ASM57655v1,NA,NA,NA
GCA_003717475.1_ASM371747v1,NA,NA,NA
GCA_001880185.2_ASM188018v2,NA,Fermented sausage; Norway,Food
GCA_002968735.1_ASM296873v1,NA,NA,NA
GCA_013394285.1_ASM1339428v1,duck,feces,Livestock
GCA_000154785.2_ASM15478v2,NA,seaweed,Plants
GCA_008386335.1_ASM838633v1,NA,chicken,Livestock
GCA_002111185.1_ASM211118v1,Homo sapiens,clinical,Humans
GCA_013282745.1_ASM1328274v1,NA,NA,NA
GCA_013128195.1_ASM1312819v1,NA,tundra wetland,Soil
GCA_002870055.1_ASM287005v1,NA,soil,Soil
GCA_001273795.1_ASM127379v1,Amblyomma cajennense,NA,Animals
GCA_002752775.1_ASM275277v1,NA,NA,NA
GCA_000024045.1_ASM2404v1,NA,NA,NA
GCA_900010805.1_C._beijerinckii_DSM_6423,NA,NA,NA
GCA_002902805.2_ASM290280v2,Homo sapiens,NA,Humans
GCA_002759315.1_ASM275931v1,Phaseolus vulgaris,NA,Agriculture
GCA_002202255.1_ASM220225v1,NA,NA,NA
GCA_005885935.1_ASM588593v1,Homo sapiens,stool,Humans
GCA_003948455.2_ASM394845v2,Homo sapiens,BAL,Humans
GCA_013306515.1_ASM1330651v1,tomato,NA,Agriculture
GCA_000755145.1_ASM75514v1,NA,NA,NA
GCA_002906195.1_ASM290619v1,Homo sapiens,blood,Humans
GCA_000177615.2_ASM17761v2,Datisca glomerata,NA,Plants
GCA_008274965.1_ASM827496v1,NA,Agricultural field,Soil
GCA_000470885.1_RhoBCP1_1.0,NA,sediment contaminated with chlorinated solvents,Human-impacted
GCA_005221505.1_ASM522150v1,NA,cattle,Livestock
GCA_002549835.1_ASM254983v1,Drosophila melanogaster Oregon-R-modENCODE,male feces,Animals
GCA_001650235.3_ASM165023v3,NA,spring,Freshwater
GCA_000284515.1_ASM28451v1,NA,NA,NA
GCA_011035105.1_ASM1103510v1,Homo sapiens,Hospital ward,Humans
GCA_009858135.1_ASM985813v1,Sablefish,NA,Animals
GCA_000192705.1_ASM19270v1,Homo sapiens,vagina of healthy women,Humans
GCA_013305885.1_ASM1330588v1,Homo sapiens,NA,Humans
GCA_009909405.1_ASM990940v1,Homo sapiens,body fluid,Humans
GCA_008693425.1_ASM869342v1,Homo sapiens,clinical isolate,Humans
GCA_003574965.1_ASM357496v1,NA,R2A medium,Human-impacted
GCA_000835005.1_ASM83500v1,NA,Wild Rat,Animals
GCA_003203615.1_ASM320361v1,NA,NA,NA
GCA_000508565.1_Strpp_DORA_23_24_velvet_1.1,Homo sapiens,premature infant gut,Humans
GCA_009937845.1_ASM993784v1,Homo sapiens,urine,Humans
GCA_008180075.1_ASM818007v1,NA,3-day-old traditional semihard cheese,Food
GCA_002738435.1_ASM273843v1,Homo sapiens,blood,Humans
GCA_013282275.1_ASM1328227v1,NA,surface water,Freshwater
GCA_001267395.1_ASM126739v1,NA,NA,NA
GCA_000982825.1_ASM98282v1,NA,infant's throat,Humans
GCA_008330085.1_ASM833008v1,Homo sapiens,blood,Humans
GCA_000967155.1_HUSEC2011CHR1,Homo sapiens,NA,Humans
GCA_000516295.1_gabuh7007_v01,Homo sapiens,urine,Humans
GCA_001936255.1_ASM193625v1,Argas persicus,chicken,Animals
GCA_001465595.2_ASM146559v2,NA,Sputum (Cystic Fibrosis Patient),Humans
GCA_000832465.1_ASM83246v1,Homo sapiens,NA,Humans
GCA_001620265.1_ASM162026v1,NA,NA,NA
GCA_000961215.1_ASM96121v1,citrus spp.,citrus infected tissue,Agriculture
GCA_001890325.1_ASM189032v1,Homo sapiens,NA,Humans
GCA_009912975.1_ASM991297v1,Homo sapiens,NA,Humans
GCA_002902965.1_ASM290296v1,NA,soil,Soil
GCA_013167615.1_ASM1316761v1,NA,NA,NA
GCA_008931665.1_ASM893166v1,Homo sapiens,clinical sample,Humans
GCA_900250005.1_CBM2625,NA,NA,NA
GCA_000164985.2_ASM16498v2,NA,NA,NA
GCA_000019725.1_ASM1972v1,NA,NA,NA
GCA_003391155.1_ASM339115v1,NA,NA,NA
GCA_009708575.1_ASM970857v1,Oncorhynchus mykiss,NA,Animals
GCA_000988525.3_ASM98852v3,Bos taurus,bovine pre-evisceration carcass,Livestock
GCA_000165835.1_ASM16583v1,NA,NA,NA
GCA_002096975.1_ASM209697v1,Homo sapiens,Cutaneous swab,Humans
GCA_002140115.1_ASM214011v1,NA,pork,Food
GCA_002370355.1_ASM237035v1,NA,moto starter of sake,Food
GCA_003855135.1_ASM385513v1,Homo sapiens,Stool,Humans
GCA_000272755.4_ASM27275v4,Gallus gallus,Chicken,Livestock
GCA_002891785.1_ASM289178v1,Homo sapiens,blood,Humans
GCA_000092785.1_ASM9278v1,NA,NA,NA
GCA_000487935.2_ASM48793v2,NA,NA,NA
GCA_010223795.1_ASM1022379v1,NA,air,Terrestrial
GCA_012273055.1_ASM1227305v1,Homo sapiens,clinical isolate,Humans
GCA_003932035.1_ASM393203v1,Solanum tuberosum,tuber,Agriculture
GCA_007726565.1_ASM772656v1,NA,retail chicken,Food
GCA_003795125.1_ASM379512v1,NA,degraded sugar thick juice,Food
GCA_013375015.1_ASM1337501v1,Pyrus pyrifolia var. culta,NA,Agriculture
GCA_002853965.1_ASM285396v1,NA,clinical patient,Humans
GCA_000021865.1_ASM2186v1,NA,NA,NA
GCA_001267885.1_ASM126788v1,NA,soil,Soil
GCA_002208255.1_ASM220825v1,NA,NA,NA
GCA_003324875.1_ASM332487v1,NA,NA,NA
GCA_003010655.1_ASM301065v1,NA,NA,NA
GCA_900698855.1_ErCicurtihirsuta_v1.0,NA,host's whole body,NA
GCA_002742395.2_ASM274239v2,Homo sapiens,vaginal swab,Humans
GCA_002354895.1_ASM235489v1,NA,sludge,Human-impacted
GCA_001524445.2_ASM152444v2,NA,soil,Soil
GCA_012558165.1_ASM1255816v1,Homo sapiens,feces,Humans
GCA_003546975.1_ASM354697v1,Homo sapiens,stool,Humans
GCA_002838015.2_ASM283801v2,Homo sapiens,sputum,Humans
GCA_000063485.1_ASM6348v1,NA,NA,NA
GCA_003994655.1_ASM399465v1,Sus scrofa domesticus,Farm,Livestock
GCA_009707745.1_ASM970774v1,NA,kimchi,Food
GCA_000430125.1_ASM43012v1,NA,Fresh alfalfa sprouts,Food
GCA_003359395.2_ASM335939v2,Homo sapiens,NA,Humans
GCA_001854365.1_ASM185436v1,NA,soil,Soil
GCA_003425885.1_ASM342588v1,Homo sapiens,nares,Humans
GCA_001936295.1_ASM193629v1,Homo sapiens,Blood,Humans
GCA_000013265.1_ASM1326v1,NA,NA,NA
GCA_013167335.1_ASM1316733v1,cattle,cattle feces,Livestock
GCA_000835165.1_ASM83516v1,NA,coastal sediment,Sediment
GCA_013167595.1_ASM1316759v1,NA,NA,NA
GCA_009685135.1_ASM968513v1,Homo sapiens,blood,Humans
GCA_003367415.1_ASM336741v1,Homo sapiens,Madura foot,Humans
GCA_001587155.1_ASM158715v1,Cucumis sativus,NA,Agriculture
GCA_002870945.1_ASM287094v1,Homo sapiens,Liver abscess puncture fluid,Humans
GCA_003515285.1_ASM351528v1,Solanum tuberosum,Potato bacterial wilt,Agriculture
GCA_005347505.1_ASM534750v1,Homo sapiens,bile from holelithiasis patient,Humans
GCA_002174235.1_ASM217423v1,NA,food,Food
GCA_001690055.1_ASM169005v1,NA,NA,NA
GCA_000283655.1_ASM28365v1,NA,NA,NA
GCA_003950015.1_ASM395001v1,Homo sapiens,urine,Humans
