#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP015166.1	CP015166	46.811	56.1641	40	-	-	-	45	5
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed3	NZ_CP015167.1	CP015167	43.148	59.3052	44	-	-	-	48	4
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1447-1	NZ_CP021525.1	CP021525	336.151	52.1239	301	-	-	-	348	44
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1447-2	NZ_CP021526.1	CP021526	44.181	51.873	48	-	-	-	57	8
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1447-3	NZ_CP021527.1	CP021527	3.654	54.8714	1	-	-	-	7	3
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP015169.1	CP015169	259.464	54.1798	214	-	-	-	259	45
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP015170.1	CP015170	117.661	54.4607	85	-	-	-	111	26
Acetobacter ascendens	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed3	NZ_CP015171.1	CP015171	28.186	54.6371	27	-	-	-	31	4
Acetobacter ghanensis	Bacteria	Proteobacteria	Alphaproteobacteria	1P	NZ_LN609303.1	LN609303	161.207	55.7259	164	-	-	-	179	15
Acetobacter ghanensis	Bacteria	Proteobacteria	Alphaproteobacteria	2P	NZ_LN609304.1	LN609304	17.845	53.5444	17	-	-	-	18	1
Acetobacter orientalis	Bacteria	Proteobacteria	Alphaproteobacteria	pAOF1	NZ_AP018516.1	AP018516	173.853	55.9611	161	-	-	-	170	9
Acetobacter oryzifermentans	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP011121.1	CP011121	165.374	52.3934	148	-	-	-	172	24
Acetobacter oryzifermentans	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP011122.1	CP011122	116.245	51.5308	106	-	-	-	126	20
Acetobacter oryzifermentans	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed3	NZ_CP011123.1	CP011123	25.29	55.8679	30	-	-	-	35	5
Acetobacter oryzoeni	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP042809.1	CP042809	246.434	53.6545	221	-	-	-	257	36
Acetobacter oryzoeni	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP042810.1	CP042810	132.758	50.7871	102	-	-	-	123	21
Acetobacter oryzoeni	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed3	NZ_CP042811.1	CP042811	29.595	56.0872	30	-	-	-	35	5
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP22518-1	NZ_CP039845.1	CP039845	471.276	45.8487	412	-	7	1	421	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP22518-2	NZ_CP039847.1	CP039847	160.303	52.2504	136	-	-	-	167	31
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp1	NC_021976.1	HF677571	194.78	52.0094	178	-	-	-	206	28
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp4	NC_021977.1	HF677574	11.105	52.2828	11	-	-	-	14	3
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp6	NC_021978.1	HF677576	6.548	51.7868	8	-	-	-	9	1
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp7	NC_021979.1	HF677577	3.851	47.0267	3	-	-	-	3	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp3	NC_021992.1	HF677573	15.601	55.4708	13	-	-	-	15	2
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp5	NC_021993.1	HF677575	9.914	50.7464	6	-	-	-	13	7
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	Apa386Bp2	NZ_HF677572.1	HF677572	18.169	55.5672	21	-	-	-	21	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-011	NC_013210.1	AP011122	191.799	53.3621	152	-	-	-	182	30
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-020	NC_013211.1	AP011123	182.94	53.4968	132	-	-	-	161	29
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-030	NC_013212.1	AP011124	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-040	NC_013213.1	AP011125	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-050	NC_013214.1	AP011126	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-060	NC_013215.1	AP011127	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_011	NC_017104.1	AP011164	191.799	53.3621	152	-	-	-	182	30
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_020	NC_017105.1	AP011165	182.94	53.4968	132	-	-	-	161	29
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_040	NC_017106.1	AP011167	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_050	NC_017107.1	AP011168	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_030	NC_017151.1	AP011166	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_060	NC_017152.1	AP011169	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-010	NC_017101.1	AP011129	191.427	53.366	151	-	-	-	181	30
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-060	NC_017109.1	AP011134	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-020	NC_017118.1	AP011130	182.94	53.4968	132	-	-	-	161	29
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-030	NC_017119.1	AP011131	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-050	NC_017120.1	AP011133	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-040	NC_017142.1	AP011132	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-030	NC_017110.1	AP011138	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-020	NC_017122.1	AP011137	182.94	53.4968	133	-	-	-	162	29
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-040	NC_017123.1	AP011139	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-060	NC_017124.1	AP011141	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-010	NC_017143.1	AP011136	191.427	53.366	151	-	-	-	182	31
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-050	NC_017144.1	AP011140	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-020	NC_017113.1	AP011172	182.94	53.4968	133	-	-	-	162	29
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-030	NC_017114.1	AP011173	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-040	NC_017115.1	AP011174	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-050	NC_017116.1	AP011175	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-014	NC_017136.1	AP011171	191.411	53.3663	151	-	-	-	182	31
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-060	NC_017137.1	AP011176	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-010	NC_017117.1	AP011143	191.427	53.366	151	-	-	-	182	31
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-020	NC_017126.1	AP011144	182.94	53.4968	133	-	-	-	162	29
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-030	NC_017127.1	AP011145	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-050	NC_017128.1	AP011147	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-060	NC_017129.1	AP011148	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-040	NC_017145.1	AP011146	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-013	NC_017130.1	AP011150	191.419	53.3662	151	-	-	-	181	30
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-020	NC_017131.1	AP011151	182.94	53.4968	132	-	-	-	161	29
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-040	NC_017132.1	AP011153	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-060	NC_017133.1	AP011155	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-030	NC_017147.1	AP011152	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-050	NC_017148.1	AP011154	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-040	NC_017102.1	AP011160	3.204	53.7453	4	-	-	-	4	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-050	NC_017103.1	AP011161	3.035	55.7825	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-060	NC_017112.1	AP011162	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-012	NC_017134.1	AP011157	191.443	53.3658	151	-	-	-	181	30
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-030	NC_017135.1	AP011159	49.961	53.882	60	-	-	-	61	1
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-020	NC_017149.1	AP011158	182.94	53.4968	132	-	-	-	161	29
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid1	NZ_AP014882.1	AP014882	187.193	52.0228	165	-	-	-	196	31
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid2	NZ_AP014883.1	AP014883	6.331	52.8826	6	-	-	-	10	4
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid3	NZ_AP014884.1	AP014884	2.799	58.1994	4	-	-	-	4	-
Acetobacter pasteurianus NBRC 101655	Bacteria	Proteobacteria	Alphaproteobacteria	plasmid4	NZ_AP014885.1	AP014885	2.278	55.7068	2	-	-	-	2	-
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1342-1	NZ_CP021510.1	CP021510	22.563	53.7473	17	-	-	-	29	12
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1342-2	NZ_CP021511.1	CP021511	190.983	53.1053	151	-	-	-	185	34
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1342-3	NZ_CP021512.1	CP021512	256.755	52.2611	222	-	-	-	253	31
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1342-4	NZ_CP021513.1	CP021513	19.899	57.42	21	-	-	-	22	1
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1342-5	NZ_CP021514.1	CP021514	43.021	38.2139	50	-	-	-	50	-
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1468-1	NZ_CP021923.1	CP021923	177.959	53.5314	117	-	-	-	156	39
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1468-2	NZ_CP021924.1	CP021924	184.348	53.0974	139	-	-	-	176	37
Acetobacter pasteurianus subsp. Pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP1468-3	NZ_CP021925.1	CP021925	49.9	53.8737	53	-	-	-	61	8
Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	pAC1084_1	NZ_CP014688.1	CP014688	526.169	52.7559	476	-	9	1	497	11
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	pApBDGP5A	NZ_CP023658.1	CP023658	131.455	51.6565	114	-	-	-	134	20
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	pApBDGP5B	NZ_CP023659.1	CP023659	9.16	53.6135	10	-	-	-	12	2
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	pApBDGP5C	NZ_CP023660.1	CP023660	19.216	53.7521	20	-	-	-	26	6
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	pSH1	NZ_CP023190.1	CP023190	166.956	51.4106	161	-	-	-	190	26
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	pSH2	NZ_CP023191.1	CP023191	16.749	52.6419	18	-	-	-	20	3
Acetobacter senegalensis	Bacteria	Proteobacteria	Alphaproteobacteria	1P	NZ_LN606601.1	LN606601	80.028	55.2744	81	-	-	-	89	8
Acetobacter sp. JWB	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP030872.1	CP030872	137.977	52.1507	118	-	-	-	142	25
Acetobacter sp. JWB	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP030873.1	CP030873	17.91	53.7856	21	-	-	-	24	3
Acetobacter sp. KACC 21233	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP043507.1	CP043507	165.009	56.163	149	-	-	-	163	14
Acetobacter sp. KACC 21233	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP043508.1	CP043508	102.624	56.4839	103	-	-	-	110	7
Acetobacter tropicalis	Bacteria	Proteobacteria	Alphaproteobacteria	pAtBDGP1A	NZ_CP022700.1	CP022700	151.013	52.1968	149	-	-	-	159	10
Acetobacteraceae bacterium	Bacteria	Proteobacteria	Alphaproteobacteria	p1	-	CP039461.1	20.485	37.525	32	-	-	-	32	-
Acholeplasma hippikon	Bacteria	Terrabacteria group	Tenericutes	2	NZ_LR215051.1	LR215051	9.492	30.4362	14	-	-	-	14	-
Acholeplasmataceae bacterium Mahy22	Bacteria	Terrabacteria group	Tenericutes	pAa22_1	-	AP024413.1	12.782	29.5728	9	-	-	-	9	-
Achromobacter insolitus	Bacteria	Proteobacteria	Betaproteobacteria	unnamed1	NZ_CP026974.1	CP026974	369.152	61.7391	349	-	-	-	360	11
Achromobacter pestifer	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP053984.1	CP053984	91.397	64.7953	88	-	-	-	95	7
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP014059.2	CP014059	21.97	65.0797	25	-	-	-	27	2
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP014066.1	CP014066	18.415	64.1922	23	-	-	-	25	2
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	pSOLR10A	NZ_CP025775.1	CP025775	220.83	61.5496	219	-	-	-	228	7
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP045223.1	CP045223	278.917	59.8927	245	-	-	-	260	15
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	unnamed	NZ_CP068212.1	CP068212	6.362	36.0578	5	-	-	-	6	1
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA81	NC_014641.1	CP002288	98.156	62.1684	96	-	-	-	106	10
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA82	NC_014642.1	CP002289	247.895	61.3082	235	-	-	-	238	3
Acidibrevibacterium fodinaquatile	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed1	NZ_CP029177.1	CP029177	68.344	62.5176	60	-	-	-	68	8
Acidibrevibacterium fodinaquatile	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed2	NZ_CP029178.1	CP029178	45.771	60.9622	49	-	-	-	50	1
Acidibrevibacterium fodinaquatile	Bacteria	Proteobacteria	Alphaproteobacteria	unnamed3	NZ_CP029179.1	CP029179	16.09	63.4866	11	-	-	-	15	4
Acidihalobacter aeolianus	Bacteria	Proteobacteria	Gammaproteobacteria	pAPV6	NZ_CP017449.1	CP017449	162.484	57.3146	163	-	-	-	165	2
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY01	NC_009467.1	CP000689	203.589	62.3334	163	-	-	-	199	36
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY02	NC_009468.1	CP000690	187.422	61.9196	170	-	-	-	194	24
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY03	NC_009469.1	CP000691	88.953	62.1283	83	-	-	-	87	4
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY04	NC_009470.1	CP000692	37.415	59.6205	36	-	-	-	41	5
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY05	NC_009471.1	CP000693	37.155	60.8532	24	-	-	-	32	8
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY06	NC_009472.1	CP000694	8.781	60.9953	11	-	-	-	11	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY07	NC_009473.1	CP000695	5.629	57.5058	9	-	-	-	9	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY08	NC_009474.1	CP000696	4.909	58.6881	6	-	-	-	6	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV1	NC_015178.1	AP012036	271.573	62.94	246	-	-	-	281	35
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV3	NC_015179.1	AP012038	54.248	61.2078	50	-	-	-	60	10
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV5	NC_015180.1	AP012040	14.328	58.9475	18	-	-	-	18	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV6	NC_015181.1	AP012041	12.125	59.5794	13	-	-	-	14	1
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV8	NC_015182.1	AP012043	1.729	60.9023	3	-	-	-	3	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV2	NC_015187.1	AP012037	65.564	61.9212	64	-	-	-	67	3
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV4	NC_015188.1	AP012039	40.588	60.0473	36	-	-	-	41	5
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV7	NC_015189.1	AP012042	5.178	57.5898	6	-	-	-	7	1
Acidipropionibacterium acidipropionici	Bacteria	Terrabacteria group	Actinobacteria	unnamed	NZ_CP014353.1	CP014353	2.365	67.7801	2	-	-	-	2	-
Acidisarcina polymorpha	Bacteria	Acidobacteria	Acidobacteriia	pACPOL1	NZ_CP030841.1	CP030841	62.45	55.4716	49	-	-	-	51	2
Acidisarcina polymorpha	Bacteria	Acidobacteria	Acidobacteriia	pACPOL2	NZ_CP030842.1	CP030842	108.812	54.7191	87	-	-	-	96	9
Acidisarcina polymorpha	Bacteria	Acidobacteria	Acidobacteriia	pACPOL4	NZ_CP030843.1	CP030843	196.405	55.4044	157	-	-	-	177	20
Acidisarcina polymorpha	Bacteria	Acidobacteria	Acidobacteriia	pACPOL3	NZ_CP030844.1	CP030844	121.048	55.4392	113	-	-	-	117	4
Acidithiobacillus caldus	Bacteria	Proteobacteria	Acidithiobacillia	p1	NZ_CP026329.1	CP026329	190.798	57.6557	162	-	-	-	218	56
Acidithiobacillus caldus	Bacteria	Proteobacteria	Acidithiobacillia	p2	NZ_CP026330.1	CP026330	32.842	57.4843	26	-	-	-	66	40
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	megaplasmid mpAca1.1	NZ_CP005987.1	-	171.972	57.3646	162	-	-	-	180	18
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	pACA1.1	NZ_CP005988.1	CP005988	27.536	59.3659	26	-	-	-	29	3
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	pACA1.2	NZ_CP005989.1	CP005989	9.82	50.3055	10	-	-	-	11	1
Acidithiobacillus caldus ATCC 51756	Bacteria	Proteobacteria	Acidithiobacillia	megap mpAca1.1	-	CP005987.1	171.972	57.3652	208	-	-	-	208	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	megaplasmid	NC_015851.1	CP002574	251.782	57.2042	224	-	-	-	253	29
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc1	NC_015852.1	CP002575	9.778	59.8384	9	-	-	-	11	2
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc2	NC_015853.1	CP002576	14.11	57.7108	15	-	-	-	15	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Acidithiobacillia	pLAtc3	NC_015854.1	CP002577	29.704	58.8305	31	-	-	-	32	1
